Name,StudyHours,Attendance,Result,ResultNumeric,TotalMarks
Student_1,3.75,62.42,Pass,1,63.43
Student_2,9.51,59.97,Pass,1,100.0
Student_3,7.32,50.57,Pass,1,95.43
Student_4,5.99,76.44,Pass,1,87.65
Student_5,1.56,68.6,Pass,1,62.2
Student_6,1.56,91.94,Pass,1,67.0
Student_7,0.58,41.93,Fail,0,24.92
Student_8,8.66,78.63,Pass,1,100.0
Student_9,6.01,85.78,Pass,1,97.32
Student_10,7.08,85.57,Pass,1,100.0
Student_11,0.21,93.16,Pass,1,55.55
Student_12,9.7,83.74,Pass,1,100.0
Student_13,8.32,95.67,Pass,1,100.0
Student_14,2.12,59.96,Pass,1,51.5
Student_15,1.82,70.19,Pass,1,49.49
Student_16,1.83,40.84,Pass,1,41.9
Student_17,3.04,40.42,Pass,1,42.54
Student_18,5.25,54.41,Pass,1,68.88
Student_19,4.32,46.05,Pass,1,68.15
Student_20,2.91,55.61,Pass,1,50.66
Student_21,6.12,50.62,Pass,1,67.75
Student_22,1.39,41.71,Fail,0,39.26
Student_23,2.92,94.56,Pass,1,78.58
Student_24,3.66,40.49,Pass,1,52.49
Student_25,4.56,84.16,Pass,1,85.4
Student_26,7.85,49.13,Pass,1,93.44
Student_27,2.0,94.73,Pass,1,69.07
Student_28,5.14,93.57,Pass,1,100.0
Student_29,5.92,79.23,Pass,1,87.52
Student_30,0.46,80.33,Pass,1,54.1
Student_31,6.08,40.32,Pass,1,76.04
Student_32,1.71,99.09,Pass,1,69.34
Student_33,0.65,92.67,Pass,1,55.68
Student_34,9.49,93.71,Pass,1,100.0
Student_35,9.66,79.55,Pass,1,100.0
Student_36,8.08,60.69,Pass,1,98.02
Student_37,3.05,93.62,Pass,1,85.01
Student_38,0.98,57.49,Pass,1,42.51
Student_39,6.84,73.76,Pass,1,89.99
Student_40,4.4,45.98,Pass,1,71.52
Student_41,1.22,95.32,Pass,1,64.3
Student_42,4.95,48.45,Pass,1,66.66
Student_43,0.34,53.49,Fail,0,36.09
Student_44,9.09,73.49,Pass,1,100.0
Student_45,2.59,85.85,Pass,1,82.04
Student_46,6.63,77.16,Pass,1,91.04
Student_47,3.12,53.93,Pass,1,61.45
Student_48,5.2,40.06,Pass,1,69.35
Student_49,5.47,85.43,Pass,1,94.33
Student_50,1.85,99.11,Pass,1,78.2
Student_51,9.7,88.59,Pass,1,100.0
Student_52,7.75,67.61,Pass,1,95.66
Student_53,9.39,94.23,Pass,1,100.0
Student_54,8.95,64.59,Pass,1,100.0
Student_55,5.98,71.5,Pass,1,85.06
Student_56,9.22,68.63,Pass,1,100.0
Student_57,0.88,66.86,Pass,1,56.78
Student_58,1.96,86.51,Pass,1,66.04
Student_59,0.45,71.61,Pass,1,46.41
Student_60,3.25,59.0,Pass,1,68.56
Student_61,3.89,55.49,Pass,1,62.91
Student_62,2.71,42.26,Pass,1,41.14
Student_63,8.29,74.99,Pass,1,100.0
Student_64,3.57,53.8,Pass,1,67.69
Student_65,2.81,48.89,Pass,1,52.17
Student_66,5.43,79.23,Pass,1,100.0
Student_67,1.41,80.87,Pass,1,63.49
Student_68,8.02,85.13,Pass,1,100.0
Student_69,0.75,70.21,Pass,1,48.38
Student_70,9.87,93.64,Pass,1,100.0
Student_71,7.72,96.18,Pass,1,100.0
Student_72,1.99,88.44,Pass,1,91.38
Student_73,0.06,78.14,Pass,1,52.46
Student_74,8.15,58.22,Pass,1,100.0
Student_75,7.07,98.98,Pass,1,100.0
Student_76,7.29,56.45,Pass,1,100.0
Student_77,7.71,52.16,Pass,1,98.47
Student_78,0.74,66.53,Pass,1,55.25
Student_79,3.58,43.41,Pass,1,63.85
Student_80,1.16,98.71,Pass,1,61.11
Student_81,8.63,75.31,Pass,1,100.0
Student_82,6.23,73.42,Pass,1,88.87
Student_83,3.31,79.35,Pass,1,69.37
Student_84,0.64,69.82,Pass,1,48.63
Student_85,3.11,41.92,Pass,1,47.2
Student_86,3.25,76.74,Pass,1,82.41
Student_87,7.3,82.97,Pass,1,100.0
Student_88,6.38,65.0,Pass,1,90.01
Student_89,8.87,85.44,Pass,1,100.0
Student_90,4.72,53.62,Pass,1,77.37
Student_91,1.2,53.28,Fail,0,39.31
Student_92,7.13,49.69,Pass,1,76.81
Student_93,7.61,62.32,Pass,1,97.18
Student_94,5.61,90.82,Pass,1,96.15
Student_95,7.71,89.67,Pass,1,100.0
Student_96,4.94,62.97,Pass,1,77.75
Student_97,5.23,75.35,Pass,1,87.37
Student_98,4.28,83.25,Pass,1,86.81
Student_99,0.25,54.47,Fail,0,28.62
Student_100,1.08,50.09,Pass,1,40.75
Student_101,0.31,98.33,Pass,1,59.28
Student_102,6.36,77.05,Pass,1,98.11
Student_103,3.14,98.88,Pass,1,89.24
Student_104,5.09,60.27,Pass,1,70.76
Student_105,9.08,82.18,Pass,1,100.0
Student_106,2.49,53.36,Pass,1,51.34
Student_107,4.1,55.67,Pass,1,63.63
Student_108,7.56,70.71,Pass,1,100.0
Student_109,2.29,59.18,Pass,1,50.23
Student_110,0.77,50.06,Fail,0,33.42
Student_111,2.9,55.77,Pass,1,53.11
Student_112,1.61,42.14,Pass,1,43.62
Student_113,9.3,82.27,Pass,1,100.0
Student_114,8.08,69.53,Pass,1,100.0
Student_115,6.33,45.65,Pass,1,87.91
Student_116,8.71,50.3,Pass,1,99.49
Student_117,8.04,46.15,Pass,1,97.57
Student_118,1.87,76.76,Pass,1,69.37
Student_119,8.93,45.65,Pass,1,100.0
Student_120,5.39,85.26,Pass,1,94.19
Student_121,8.07,41.23,Pass,1,92.51
Student_122,8.96,54.96,Pass,1,98.22
Student_123,3.18,93.44,Pass,1,77.6
Student_124,1.1,83.11,Pass,1,55.64
Student_125,2.28,44.38,Pass,1,56.07
Student_126,4.27,89.27,Pass,1,83.66
Student_127,8.18,69.58,Pass,1,100.0
Student_128,8.61,90.81,Pass,1,100.0
Student_129,0.07,76.04,Pass,1,48.98
Student_130,5.11,80.91,Pass,1,90.14
Student_131,4.17,99.61,Pass,1,98.56
Student_132,2.22,53.94,Pass,1,53.48
Student_133,1.2,77.44,Pass,1,49.16
Student_134,3.38,67.62,Pass,1,63.58
Student_135,9.43,42.37,Pass,1,100.0
Student_136,3.23,40.87,Pass,1,49.35
Student_137,5.19,47.15,Pass,1,75.75
Student_138,7.03,78.95,Pass,1,100.0
Student_139,3.64,74.03,Pass,1,68.7
Student_140,9.72,73.21,Pass,1,100.0
Student_141,9.62,41.91,Pass,1,97.27
Student_142,2.52,68.16,Pass,1,58.23
Student_143,4.97,95.48,Pass,1,98.05
Student_144,3.01,63.86,Pass,1,64.95
Student_145,2.85,77.5,Pass,1,61.35
Student_146,0.37,86.79,Pass,1,54.95
Student_147,6.1,87.04,Pass,1,98.09
Student_148,5.03,71.16,Pass,1,79.69
Student_149,0.51,91.48,Pass,1,59.63
Student_150,2.79,63.48,Pass,1,57.66
Student_151,9.08,93.32,Pass,1,100.0
Student_152,2.4,54.41,Pass,1,57.79
Student_153,1.45,56.81,Pass,1,51.6
Student_154,4.89,43.19,Pass,1,62.56
Student_155,9.86,87.73,Pass,1,100.0
Student_156,2.42,65.02,Pass,1,58.78
Student_157,6.72,53.75,Pass,1,85.26
Student_158,7.62,53.91,Pass,1,90.26
Student_159,2.38,94.08,Pass,1,69.61
Student_160,7.28,90.03,Pass,1,100.0
Student_161,3.68,73.21,Pass,1,71.35
Student_162,6.32,76.97,Pass,1,100.0
Student_163,6.34,68.46,Pass,1,95.12
Student_164,5.36,63.5,Pass,1,86.48
Student_165,0.9,94.93,Pass,1,57.86
Student_166,8.35,47.54,Pass,1,97.33
Student_167,3.21,65.11,Pass,1,61.11
Student_168,1.87,60.67,Pass,1,45.26
Student_169,0.41,69.89,Pass,1,43.07
Student_170,5.91,67.46,Pass,1,93.1
Student_171,6.78,71.13,Pass,1,95.06
Student_172,0.17,48.4,Fail,0,38.23
Student_173,5.12,70.79,Pass,1,86.18
Student_174,2.26,54.55,Pass,1,48.84
Student_175,6.45,51.06,Pass,1,88.04
Student_176,1.74,43.89,Pass,1,42.48
Student_177,6.91,85.76,Pass,1,100.0
Student_178,3.87,65.65,Pass,1,79.64
Student_179,9.37,77.6,Pass,1,100.0
Student_180,1.38,83.66,Pass,1,61.33
Student_181,3.41,80.76,Pass,1,71.46
Student_182,1.13,68.23,Pass,1,55.88
Student_183,9.25,63.27,Pass,1,100.0
Student_184,8.77,62.56,Pass,1,100.0
Student_185,2.58,78.4,Pass,1,65.14
Student_186,6.6,69.69,Pass,1,98.78
Student_187,8.17,90.95,Pass,1,100.0
Student_188,5.55,92.48,Pass,1,96.54
Student_189,5.3,50.23,Pass,1,65.45
Student_190,2.42,48.17,Pass,1,51.17
Student_191,0.93,77.82,Pass,1,46.27
Student_192,8.97,58.07,Pass,1,100.0
Student_193,9.0,41.11,Pass,1,94.43
Student_194,6.33,93.32,Pass,1,100.0
Student_195,3.39,53.61,Pass,1,57.32
Student_196,3.49,95.76,Pass,1,90.91
Student_197,7.26,83.05,Pass,1,100.0
Student_198,8.97,85.76,Pass,1,100.0
Student_199,8.87,52.09,Pass,1,100.0
Student_200,7.8,54.05,Pass,1,89.49
Student_201,6.42,71.28,Pass,1,95.59
Student_202,0.84,50.33,Pass,1,50.66
Student_203,1.62,58.33,Pass,1,48.29
Student_204,8.99,59.29,Pass,1,100.0
Student_205,6.06,49.58,Pass,1,82.17
Student_206,0.09,52.31,Fail,0,32.31
Student_207,1.01,87.31,Pass,1,51.93
Student_208,6.64,50.03,Pass,1,88.8
Student_209,0.05,41.71,Fail,0,15.41
Student_210,1.61,77.76,Pass,1,57.45
Student_211,5.49,98.56,Pass,1,100.0
Student_212,6.92,59.87,Pass,1,89.5
Student_213,6.52,47.12,Pass,1,76.96
Student_214,2.24,74.22,Pass,1,66.85
Student_215,7.12,94.38,Pass,1,100.0
Student_216,2.37,87.04,Pass,1,65.07
Student_217,3.25,77.35,Pass,1,73.78
Student_218,7.46,58.9,Pass,1,94.11
Student_219,6.5,72.51,Pass,1,89.29
Student_220,8.49,45.47,Pass,1,98.39
Student_221,6.58,80.74,Pass,1,100.0
Student_222,5.68,83.51,Pass,1,93.75
Student_223,0.94,97.9,Pass,1,64.8
Student_224,3.68,55.62,Pass,1,65.16
Student_225,2.65,41.11,Pass,1,51.82
Student_226,2.44,72.74,Pass,1,61.75
Student_227,9.73,82.41,Pass,1,100.0
Student_228,3.93,87.42,Pass,1,86.72
Student_229,8.92,51.62,Pass,1,100.0
Student_230,6.31,55.71,Pass,1,84.1
Student_231,7.95,70.76,Pass,1,100.0
Student_232,5.03,59.84,Pass,1,73.83
Student_233,5.77,91.63,Pass,1,100.0
Student_234,4.93,68.43,Pass,1,89.59
Student_235,1.95,87.97,Pass,1,65.96
Student_236,7.22,74.84,Pass,1,100.0
Student_237,2.81,86.39,Pass,1,72.67
Student_238,0.24,59.96,Fail,0,38.45
Student_239,6.45,89.88,Pass,1,100.0
Student_240,1.77,56.47,Pass,1,51.86
Student_241,9.4,72.77,Pass,1,100.0
Student_242,9.54,52.84,Pass,1,100.0
Student_243,9.15,68.53,Pass,1,100.0
Student_244,3.7,59.09,Pass,1,65.76
Student_245,0.15,56.0,Fail,0,29.06
Student_246,9.28,98.02,Pass,1,100.0
Student_247,4.28,49.6,Pass,1,67.52
Student_248,9.67,87.24,Pass,1,100.0
Student_249,9.64,99.05,Pass,1,100.0
Student_250,8.53,41.19,Pass,1,100.0
Student_251,2.94,81.94,Pass,1,76.8
Student_252,3.85,55.17,Pass,1,62.68
Student_253,8.51,42.43,Pass,1,89.46
Student_254,3.17,64.17,Pass,1,58.99
Student_255,1.69,96.11,Pass,1,72.86
Student_256,5.57,40.71,Pass,1,66.54
Student_257,9.36,75.27,Pass,1,100.0
Student_258,6.96,70.08,Pass,1,100.0
Student_259,5.7,92.4,Pass,1,100.0
Student_260,0.97,45.04,Fail,0,28.89
Student_261,6.15,80.89,Pass,1,94.37
Student_262,9.9,80.81,Pass,1,100.0
Student_263,1.4,80.14,Pass,1,56.47
Student_264,5.18,96.54,Pass,1,100.0
Student_265,8.77,89.39,Pass,1,100.0
Student_266,7.41,42.52,Pass,1,85.05
Student_267,6.97,68.26,Pass,1,93.2
Student_268,7.02,63.88,Pass,1,94.02
Student_269,3.59,58.61,Pass,1,64.83
Student_270,2.94,67.08,Pass,1,68.93
Student_271,8.09,63.05,Pass,1,98.12
Student_272,8.1,65.94,Pass,1,100.0
Student_273,8.67,98.76,Pass,1,100.0
Student_274,9.13,45.32,Pass,1,100.0
Student_275,5.11,95.33,Pass,1,93.54
Student_276,5.02,68.81,Pass,1,74.86
Student_277,7.98,77.42,Pass,1,100.0
Student_278,6.5,89.81,Pass,1,98.3
Student_279,7.02,61.63,Pass,1,99.56
Student_280,7.96,65.83,Pass,1,100.0
Student_281,8.9,64.57,Pass,1,100.0
Student_282,3.38,62.48,Pass,1,62.13
Student_283,3.76,95.53,Pass,1,89.29
Student_284,0.94,89.74,Pass,1,58.7
Student_285,5.78,46.54,Pass,1,74.26
Student_286,0.36,46.49,Fail,0,34.47
Student_287,4.66,65.67,Pass,1,75.67
Student_288,5.43,45.92,Pass,1,66.31
Student_289,2.87,77.15,Pass,1,67.76
Student_290,5.91,48.62,Pass,1,83.53
Student_291,0.31,71.34,Pass,1,53.71
Student_292,0.37,40.43,Fail,0,17.12
Student_293,8.23,59.0,Pass,1,100.0
Student_294,3.6,80.63,Pass,1,78.43
Student_295,1.27,69.04,Pass,1,56.2
Student_296,5.22,98.7,Pass,1,98.23
Student_297,7.7,92.45,Pass,1,100.0
Student_298,2.16,61.54,Pass,1,57.13
Student_299,6.23,42.73,Pass,1,70.77
Student_300,0.85,90.74,Pass,1,54.3
Student_301,0.52,94.67,Pass,1,54.37
Student_302,5.31,89.24,Pass,1,99.03
Student_303,5.41,47.68,Pass,1,72.59
Student_304,6.37,99.87,Pass,1,100.0
Student_305,7.26,55.52,Pass,1,94.74
Student_306,9.76,83.45,Pass,1,100.0
Student_307,5.16,94.48,Pass,1,97.62
Student_308,3.23,54.14,Pass,1,55.77
Student_309,7.95,94.5,Pass,1,100.0
Student_310,2.71,58.57,Pass,1,51.99
Student_311,4.39,98.58,Pass,1,96.22
Student_312,0.78,56.88,Pass,1,45.74
Student_313,0.25,97.21,Pass,1,56.24
Student_314,9.63,43.21,Pass,1,100.0
Student_315,8.36,82.56,Pass,1,100.0
